folioviv,foliohog,ubica_geo,factor,ing_cor,gasto_mon,alimentos,educa_espa,transporte,salud,entidad
100050205,1,1001,203,47903.19,12075.01,8151.2,0.0,989.01,0.0,1
100050206,1,1001,203,31393.11,35567.61,18192.76,969.86,9059.42,1731.52,1
100051401,1,1001,176,75574.04,62218.4,28992.53,253.07,5813.25,0.0,1
100051402,1,1001,176,101661.76,57796.78,43076.95,1473.37,6194.99,179.99,1
100051403,1,1001,176,79238.02,45267.99,15209.88,2799.37,8327.41,586.95,1
100051404,1,1001,176,179561.11,61621.09,11995.66,7812.03,17458.06,1027.17,1
100051405,1,1001,176,128538.19,50042.45,8961.33,145.16,7261.95,8021.71,1
100051406,1,1001,176,150659.13,89258.46,12985.65,5164.26,13681.97,26902.17,1
100052601,1,1001,198,22204.91,9684.68,7836.29,0.0,240.0,0.0,1
100052602,1,1001,198,63623.89,22530.61,5592.75,0.0,7244.26,1907.6,1
100052603,1,1001,198,120245.89,101480.63,39715.68,16470.0,3445.71,8510.84,1
100052605,1,1001,198,105147.52,31020.52,16547.02,0.0,8100.0,0.0,1
100052606,1,1001,198,101252.43,37126.96,7611.32,3516.83,9803.6,469.55,1
100053601,1,1001,209,133770.48,40571.27,21599.96,1721.31,12000.0,0.0,1
100053602,1,1001,209,53114.75,58883.61,12908.52,0.0,6150.0,0.0,1
100053603,1,1001,209,210575.37,56923.54,12368.39,13050.0,11522.95,983.6,1
100053604,1,1001,209,41016.39,17690.64,4458.14,0.0,10050.0,0.0,1
100053605,1,1001,209,317898.11,90767.19,19748.5,34743.43,18600.0,978.26,1
100053606,1,1001,209,204491.79,45526.95,13499.96,7261.07,10200.0,1467.38,1
100054801,1,1001,228,189295.06,63565.0,14309.91,23154.09,21900.0,0.0,1
100054802,1,1001,228,116404.98,34077.02,6852.82,595.03,20850.0,352.17,1
100054803,1,1001,228,92729.46,16319.66,8138.5,480.0,5314.25,234.78,1
100054804,1,1001,228,83016.39,20940.61,7714.26,1172.95,10025.4,0.0,1
100054805,1,1001,228,100770.48,26894.24,8112.82,2397.0,8134.42,0.0,1
100054806,1,1001,228,145180.31,46716.81,26472.81,1530.0,16200.0,0.0,1
100055001,1,1001,263,83714.64,185708.08,42055.5,1559.76,105070.89,1943.79,1
100055002,1,1001,263,126475.88,92987.06,33387.8,4853.24,29422.18,2905.41,1
100055003,1,1001,263,87954.13,44726.47,9887.05,1500.0,23516.12,0.0,1
100055004,1,1001,263,182765.92,180509.55,26125.63,0.0,7930.0,0.0,1
100055006,1,1001,263,202140.96,128943.05,42415.52,12683.99,42704.09,1560.29,1
100056701,1,1001,204,34724.8,32226.34,13255.53,2292.39,5440.79,782.58,1
100056702,1,1001,204,73475.39,54458.58,11327.0,3867.39,20348.52,4353.24,1
100056703,1,1001,204,71541.76,40094.48,15434.84,2264.21,10136.1,0.0,1
100056704,1,1001,204,131450.08,60829.91,23027.01,900.0,5374.24,0.0,1
100056705,1,1001,204,201368.09,79440.6,21972.56,18395.34,10130.39,1956.52,1
100056706,1,1001,204,105760.86,33810.34,10259.79,1796.73,6351.32,0.0,1
100057801,1,1001,183,183196.71,176021.92,64375.59,16470.0,10780.1,6149.5,1
100057802,1,1001,183,71171.3,50104.55,19221.36,0.0,11485.7,4617.37,1
100057803,1,1001,183,90501.6,52886.87,11969.9,9000.0,11640.0,0.0,1
100057804,1,1001,183,156983.6,154679.97,28838.46,1980.0,49890.0,0.0,1
100057805,1,1001,183,77950.78,50982.27,21149.92,5970.0,5991.35,0.0,1
100057806,1,1001,183,201295.06,98370.86,36064.2,0.0,12410.16,0.0,1
100058301,1,1001,288,161353.04,96279.73,32348.35,2816.12,7336.45,0.0,1
100058302,1,1001,288,67145.0,23708.32,7675.58,290.32,11932.25,0.0,1
100058303,1,1001,288,168592.19,57524.0,9989.88,0.0,22016.44,6446.71,1
100058304,1,1001,288,254326.64,155577.94,10054.18,108470.39,13504.83,538.04,1
100058305,1,1001,288,219548.53,106959.76,27102.67,28438.66,11514.66,4217.26,1
100058306,1,1001,288,214294.3,145758.93,18231.32,51183.85,22263.86,9195.64,1
100059501,1,1001,219,56742.27,44451.31,12947.0,9654.79,9239.14,234.78,1
100059502,1,1001,219,71800.36,31076.67,14862.64,0.0,7777.44,0.0,1
100059503,1,1001,219,286266.58,292783.81,55504.14,38646.3,91382.51,14086.94,1
100059504,1,1001,219,63293.46,48251.28,16315.52,7762.97,4229.84,1027.17,1
